n,direccion,status,http_code,elapsed_s,error
168,SALCEDO 3352,OK,200.0,5.28964638710022,
169,RAUCH 3924,OK,200.0,11.599100112915039,
170,CONCORDIA 1471,OK,200.0,10.384371757507324,
171,TIERRA DEL FUEGO 2538,OK,200.0,6.245488166809082,
172,AV. CONGRESO 4157,OK,200.0,5.534996747970581,
173,PICO 1617,OK,200.0,7.216475486755371,
174,BAUNESS 2288,OK,200.0,6.437026739120483,
175,TANDIL 3900,OK,200.0,4.69460654258728,
176,GRAL. LUCIO NORBERTO MANSILLA 3201,ERROR,404.0,1.681910514831543,HTTP 404
177,GUTENBERG 2689,OK,200.0,4.945670127868652,
178,AV. SALVADOR MARIA DEL CARRIL 3188,OK,200.0,5.303269624710083,
179,DR. HORACIO CASCO 4437,OK,200.0,5.175945043563843,
180,BAHIA BLANCA 2589,OK,200.0,5.210962533950806,
181,BONPLAND 2288,OK,200.0,10.931054592132568,
182,BOULEVARD OLÍMPICO JOSÉ B. ZUBIAUR 4244,ERROR,404.0,0.28441739082336426,HTTP 404
183,COSQUIN 1146,OK,200.0,7.92563533782959,
184,ROJAS 2086,OK,200.0,7.924346685409546,
185,MANUEL RICARDO TRELLES 1217,OK,200.0,6.197461128234863,
186,AV. OLAZABAL 4884,OK,200.0,8.27614951133728,
187,JOSE P. TAMBORINI 4986,OK,200.0,5.85368800163269,
188,AV. RIVADAVIA 5920,OK,200.0,5.670720100402832,
189,SUPERI 3880,OK,200.0,4.705867290496826,
190,ALEJANDRO MAGARIÑOS CERVANTES 5001,ERROR,404.0,0.280642032623291,HTTP 404
191,LISANDRO DE LA TORRE 564,OK,200.0,8.456069946289062,
192,JOSE P. TAMBORINI 3719,OK,200.0,5.286965847015381,
193,CORONEL MARTINIANO CHILAVERT 5384,OK,200.0,4.977406024932861,
194,PLUMERILLO 3924,OK,200.0,5.056328296661377,
195,SOMELLERA 1739,OK,200.0,5.041752338409424,
196,GRECIA 4326,OK,200.0,4.63437294960022,
197,MANUEL UGARTE 3478,OK,200.0,14.66244101524353,
198,AV. GAONA 4480,OK,200.0,6.774543285369873,
199,MARCOS SASTRE 4285,OK,200.0,5.50091290473938,
200,PIRAN 5745,OK,200.0,4.895749807357788,
201,CALLE SIN NOMBRE OFICIAL 3550,ERROR,404.0,0.2986001968383789,HTTP 404
202,CARLOS CALVO 555,OK,200.0,6.90139365196228,
203,LAFUENTE 639,OK,200.0,6.452367305755615,
204,HUDSON 4436,OK,200.0,5.419538974761963,
205,BOGOTA 3396,OK,200.0,6.89650559425354,
206,SAN PEDRO 7186,OK,200.0,4.586506366729736,
207,VIRREY ARREDONDO 3515,OK,200.0,5.250966548919678,
208,SALVIGNY 1590,OK,200.0,4.955315828323364,
209,TINOGASTA 5120,OK,200.0,7.115034818649292,
210,HUDSON 4615,OK,200.0,5.396384954452515,
211,TINOGASTA 4283,OK,200.0,4.477768898010254,
212,CONDARCO 1297,OK,200.0,6.000409364700317,
213,MARTINIANO LEGUIZAMON 4491,OK,200.0,5.083511590957642,
214,AV. HIPOLITO YRIGOYEN 3400,OK,200.0,8.513168096542358,
215,MOLDES 1163,OK,200.0,5.969071865081787,
216,JUFRE 817,OK,200.0,5.334452867507935,
217,VIRREY OLAGUER Y FELIU 3212,OK,200.0,5.36017370223999,
218,MORON 2785,OK,200.0,4.792714834213257,
219,GURRUCHAGA 2345,OK,200.0,6.325660467147827,
220,ESPARTACO 967,OK,200.0,5.875262975692749,
221,GAVILAN 4274,OK,200.0,5.302336692810059,
222,JUAN CARLOS GOMEZ 222,OK,200.0,5.990615367889404,
223,AV. JUAN B. JUSTO 7849,OK,200.0,6.596720457077026,
224,BAZURCO 2638,OK,200.0,4.37480902671814,
225,CLAY 3064,OK,200.0,6.474533319473267,
226,CACHI 457,OK,200.0,5.904847145080566,
227,BEAUCHEF 1219,OK,200.0,4.910667419433594,
228,THAMES 1717,OK,200.0,6.734448194503784,
229,CHIVILCOY 70,OK,200.0,6.401277303695679,
230,AV. BELGRANO 3512,OK,200.0,13.428910493850708,
231,BERMUDEZ 415,OK,200.0,9.189738035202026,
232,PROFESOR DOCTOR PEDRO CHUTRO 3286,ERROR,404.0,0.3654320240020752,HTTP 404
233,FONROUGE 4342,OK,200.0,5.907231330871582,
234,HORTIGUERA 110,OK,200.0,17.43074345588684,
235,DIRECTORIO 6514,OK,200.0,5.782125949859619,
236,GRAL. DANIEL CERRI 1254,OK,200.0,4.5948121547698975,
237,MORON 3952,OK,200.0,5.400602340698242,
238,DON BOSCO 3957,OK,200.0,7.215914487838745,
239,PEDRO MORAN 2323,OK,200.0,4.901482582092285,
240,AV. URUGUAY 740,OK,200.0,12.960387468338013,
241,SALADILLO 1670,OK,200.0,5.350535154342651,
242,FAMATINA 3369,OK,200.0,7.159606695175171,
243,RONDEAU 2488,OK,200.0,7.850346803665161,
244,CALIFORNIA 787,OK,200.0,4.626792669296265,
245,PICO 4520,OK,200.0,5.2207605838775635,
246,CALLE SIN NOMBRE OFICIAL 4897,ERROR,404.0,0.38045263290405273,HTTP 404
247,LA HAYA 4071,OK,200.0,4.865442752838135,
248,CAÑADA DE GOMEZ 4443,OK,200.0,7.766558408737183,
249,CAMARONES 5049,OK,200.0,5.212291955947876,
250,BALBASTRO 460,OK,200.0,8.873431205749512,
251,JOAQUIN V. GONZALEZ 2320,OK,200.0,7.0516133308410645,
252,CACHIMAYO 1867,OK,200.0,6.181039094924927,
253,AV. GENERAL INDALECIO CHENAUT 1771,ERROR,404.0,0.3080313205718994,HTTP 404
254,AQUINO 4911,OK,200.0,4.446036338806152,
255,14 DE JULIO 175,OK,200.0,6.771101951599121,
256,CARLOS BERG 3574,OK,200.0,8.4992516040802,
257,CACHIMAYO 1231,OK,200.0,6.622404098510742,
258,GENERAL RIVAS 2625,OK,200.0,5.839287757873535,
259,FRAY CAYETANO RODRIGUEZ 760,OK,200.0,6.1266255378723145,
260,PORTUGAL 581,OK,200.0,4.382848024368286,
261,WHITE 463,OK,200.0,5.372729778289795,
262,CERETTI 3207,OK,200.0,4.295693397521973,
263,VENTURA BOSCH 7016,OK,200.0,5.8001134395599365,
264,BELGRANO 4042,OK,200.0,9.638063192367554,
265,SANCHEZ DE LORIA 1721,OK,200.0,6.077218055725098,
266,ROBERTO J. PAYRO 1918,OK,200.0,5.22288179397583,
267,VILLARROEL 1389,OK,200.0,4.4465172290802,
268,BURELA 2662,OK,200.0,4.911582946777344,
269,HUMBERTO 1º 3439,OK,200.0,4.232157468795776,
270,MARIO BRAVO 811,OK,200.0,6.700719833374023,
271,DR. JUAN FELIPE ARANGUREN 3744,OK,200.0,5.3006861209869385,
272,ASUNCION 3095,OK,200.0,4.652689695358276,
273,CRAIG 769,OK,200.0,5.4832444190979,
274,PASCO 1555,OK,200.0,5.1258485317230225,
275,SANTANDER 4149,OK,200.0,5.01967978477478,
276,SERRANO 1284,OK,200.0,6.0321245193481445,
277,AV. PAVON 3919,OK,200.0,5.176764965057373,
278,PALPA 3638,OK,200.0,5.632003307342529,
279,TANDIL 2610,OK,200.0,6.3715479373931885,
280,MANUELA PEDRAZA 3520,OK,200.0,6.8905930519104,
281,AV. ARGENTINA 5456,OK,200.0,5.511679649353027,
282,BAHIA BLANCA 2552,OK,200.0,5.6087119579315186,
283,CARACAS 4860,OK,200.0,4.773248195648193,
284,TRES ARROYOS 2526,OK,200.0,5.182111024856567,
285,TRONADOR 4528,OK,200.0,5.278614044189453,
286,PRINGLES 853,OK,200.0,7.711049556732178,
287,ALTOLAGUIRRE 2793,OK,200.0,6.457245826721191,
288,LA TRILLA 2157,OK,200.0,5.426318168640137,
289,MIRALLA 3364,OK,200.0,4.541710376739502,
290,DR. CARLOS A. GIANANTONIO 3993,OK,200.0,7.165034055709839,
291,MAURE 2334,OK,200.0,5.447362184524536,
292,LARRAZABAL 3227,OK,200.0,4.6195454597473145,
293,AV. GAONA 3869,OK,200.0,5.013437271118164,
294,QUINTINO BOCAYUVA 445,OK,200.0,4.632705926895142,
295,TIMBUES 2085,OK,200.0,4.597656011581421,
296,REPUBLICA BOLIVARIANA DE VENEZUELA 3708,OK,200.0,4.783081769943237,
